Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
219,St.Vincent Hospital - Indianapolis,IN,None,1848,Hacking/IT Incident,"Network Server, E-mail",2014-01-23,Unknown detailed,2010-11-12,Unknown Date,2010,Hacking/IT Incident
220,Centra,VA,None,11982,Theft,Laptop,2014-01-23,Unknown detailed,2010-11-11,Unknown Date,2010,Theft
221,Blue Cross and Blue Shield of Florida ,FL,None,7366,Unknown,Other,2014-01-23,Unknown detailed,2010-10-16,Unknown Date,2010,Unknown
222,TRICARE Management Activity,CO,None,4500,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2010-06-25,Unknown Date,2010,Unauthorized Access/Disclosure
223,"Central Brooklyn Medical Group, PC",NY,None,500,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), Preferred Health Partners f/k/a Central Brooklyn Medical Group, after it reported appointment schedules, pathology reports and portions of medical records containing the protected health information (PHI) of 500 individuals were stolen from an office.  The PHI included names, ages, telephone numbers, social security numbers, medical insurance information, pathology reports, and other clinical information.  Upon discovery of the breach, the CE filed a police report and worked with law enforcement authorities to recover as much of the PHI as possible that was stolen.  As a result of OCR's investigation, the CE removed PHI such as social security or medical insurance numbers from tracking logs.  In addition, the CE improved safeguards by storing log binders in a locked area and shredding documents regularly.  Further, the CE replaced the manual process of printing certain records with an electronic verification system.  The CE also archived, stored off site, and locked up all paper records and retrained all staff on its HIPAA policies and procedures. ",2010-08-03,Unknown Date,2010,Theft
224,Rotech Healthcare Inc.,FL,None,10680,Unauthorized Access/Disclosure,Laptop,2014-02-18,Unknown detailed,2010-11-26,2013-10-01,2010,Unauthorized Access/Disclosure
225,"Triple-S Salud, Inc.",PR,"Triple-C, Inc.",398000,Theft,Network Server,2014-02-18,Unknown detailed,2010-09-09,Unknown Date,2010,Theft
226,Coulee Medical Center,WA,None,2500,Unauthorized Access/Disclosure,"Laptop, Network Server, E-mail",2014-02-11,Unknown detailed,2010-01-01,2013-11-30,2010,Unauthorized Access/Disclosure
227,Departamento de Salud de Puerto Rico,PR,None,2621,Unknown,Desktop Computer,2014-01-23,Unknown detailed,2010-03-14,Unknown Date,2010,Unknown
228,Mountain Vista Medical Center,AZ,None,2291,Loss,"Other Portable Electronic Device, Other",2014-01-23,Unknown detailed,2010-10-13,Unknown Date,2010,Loss
229,"Nihal Saran, MD ",MI,None,2300,Theft,Laptop,2014-01-23,"A password protected laptop computer containing protected health information (PHI) was stolen from Dr. Saran's personal residence.  The laptop contained the PHI of approximately 2,300 individuals.  The PHI stored on the laptop included patients' names, addresses, dates of birth, Social Security numbers, insurance information, and diagnoses.  Following the breach, Dr. Saran notified the Northville Township Police Department of the theft, contacted the individuals reasonably believed to have been affected by the breach, sent a notice of the breach to the Detroit Free Press and the Monroe News, and installed encryption software for its billing software.

",2010-05-02,Unknown Date,2010,Theft
230,Lincoln Medical and Mental Health Center,NY,"Siemens Medical Solutions, USA, Inc",130495,Theft,Other,2014-06-19,"The covered entity's business associate (BA), Siemens Medical Solutions USA, Inc., shipped seven unencrypted compact disks (CDs) that contained the electronic protected health information (ePHI) of 130,495 individuals to the covered entity (CE), Lincoln Medical and Mental Health Center.  The CD's, containing back-up data, were lost in transit.  The ePHI included names, addresses, social security numbers, medical record numbers, health plan information, dates of birth, dates of admission and discharge, diagnostic and procedural codes, and driver's license numbers.  The CE provided breach notification to affected individuals, HHS, and the media.  Upon discovery of the breach, the CE directed the BA to cease using the shipping service as a means of transporting the CDs.  As a result of OCR's investigation, the BA adopted a procedure to encrypt CDs.  The CE also implemented a procedure for a senior employee of the BA to physically deliver the encrypted CDs to the CE.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-03-24,Unknown Date,2010,Theft
231,UnitedHealth Group health plan single affiliated covered entity,MN,None,16291,Other,Paper,2014-01-23,"Paper correspondence to certain members in UnitedHealth's prescription drug plans were in advertently sent to the incorrect temporary address due to a database administration error.  Approximately 16,291 individuals were affected by the breach. UnitedHealth member's name, plan number and in some instances, date of birth and/or limited medical information. United Health reported that it stopped using PDI's proprietary database for address updates and made outbound verifications calls to members to get accurate temporary addresses.   United Health reported that it revised its address update process.   

",2010-01-26,Unknown Date,2010,Other
232,Occupational Health Partners,KS,None,1105,Theft,Laptop,2014-01-23,Unknown detailed,2010-05-12,Unknown Date,2010,Theft
233,Cincinnati Childrens Hospital Medical Center ,OH,None,60998,Theft,Laptop,2014-01-23,Unknown detailed,2010-03-27,Unknown Date,2010,Theft
234,Rainbow Hospice and Palliative Care,IL,None,1000,Theft,Laptop,2014-01-23,"An employee's laptop was stolen out of her bag while she was making an admission visit in a patient's home.  The evidence showed that although the covered entity had a policy of encrypting and password-protecting its computers, this particular computer did not require a password most of the time.  The invoices contained the protected health information (PHI) of approximately 1,000 individuals.  The PHI stored on the laptop included names, addresses, dates of birth, phone numbers, Social Security numbers, Medicare numbers, electronic health records and commercial insurance information.  Following the breach, the covered entity notified its clients of the incident, placed notice on its website and in The Daily Herald, sanctioned the employee for changing the security settings on the laptop in question, and established stringent computer security guidelines, and retrained its staff in the new requirements, with the intention of preventing a similar event from occurring again.

",2010-04-12,Unknown Date,2010,Theft
235,VA North Texas Health Care System,TX,None,4083,Improper Disposal,Paper,2014-01-23,Unknown detailed,2010-05-04,Unknown Date,2010,Improper Disposal
236,"City of Charlotte, NC (Health Plan)",NC,None,5220,Loss,Other,2014-01-23,Unknown detailed,2010-02-03,Unknown Date,2010,Loss
237,University of Rochester Medical Center and Affiliates,NY,None,2628,Other,Paper,2014-01-23,Unknown detailed,2010-04-19,Unknown Date,2010,Other
238,Oconee Physician Practices,SC,None,653,Theft,Laptop,2014-01-23,Unknown detailed,2010-05-09,Unknown Date,2010,Theft
239,"State of New Mexico Human Services Department, Medical Assistance Division",NM,DentaQuest,9600,Theft,Laptop,2014-01-23,Unknown detailed,2010-03-20,Unknown Date,2010,Theft
240,Veterans Health Administration,DC,Heritage Health Solutions,656,Theft,Laptop,2014-01-23,Unknown detailed,2010-04-22,Unknown Date,2010,Theft
241,Loma Linda University Health Care,CA,None,584,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-04-04,Unknown Date,2010,Theft
242,"Granite Medical Group, Inc.",MA,"Clearpoint Design, Inc.",4125,Hacking/IT Incident,Network Server,2014-02-19,Unknown detailed,2010-01-02,2012-11-15,2010,Hacking/IT Incident
243,Central City Concern,OR,None,17914,Unauthorized Access/Disclosure,Other,2014-06-18,Unknown detailed,2010-03-23,Unknown Date,2010,Unauthorized Access/Disclosure
244,University of Connecticut Health Center,CT,None,1382,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2010-06-07,2012-12-07,2010,Unauthorized Access/Disclosure
245,Clarksburg - Louis A. Johnson VA Medical Center,WV,None,1470,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2010-10-26,Unknown Date,2010,Unauthorized Access/Disclosure
246,Texas Health Arlington Memorial Hospital,TX,None,654,Unknown,Electronic Medical Record,2014-01-23,"The IT department turned on the switch to a BA HIE without notifying patients of the exchange or obtaining authorization.  The interface transmitted the PHI of 654 individuals. The PHI disclosed included patient names, addresses, dates of birth, social security numbers, other identifiers, diagnosis/conditions, medications, lab results, other treatment information and financial information. Following the breach, the CE revised the IT process, created a checklist that included notifying the affected departments and provided  additional training to IT and registration employees.  

",2010-12-23,Unknown Date,2010,Unknown
